route_id,origin,destination,total_passengers,weight
BENGALURU-PORT BLAIR,BENGALURU,PORT BLAIR,189681.0,0.001929
CHENNAI-THIRUVANANTHAPURAM,CHENNAI,THIRUVANANTHAPURAM,188865.0,0.00192
DARBHANGA-DELHI,DARBHANGA,DELHI,188530.0,0.001917
HYDERABAD-RAJAHMUNDRY,HYDERABAD,RAJAHMUNDRY,186905.0,0.001901
HYDERABAD-INDORE,HYDERABAD,INDORE,183004.0,0.001861
AURANGABAD-DELHI,AURANGABAD,DELHI,182822.0,0.001859
AYODHYA-DELHI,AYODHYA,DELHI,182599.0,0.001857
HYDERABAD-RANCHI,HYDERABAD,RANCHI,182006.0,0.001851
JAMMU-SRINAGAR,JAMMU,SRINAGAR,178361.0,0.001814
BENGALURU-SURAT,BENGALURU,SURAT,174017.0,0.001769
CHENNAI-VISHAKHAPATNAM,CHENNAI,VISHAKHAPATNAM,170440.0,0.001733
BENGALURU-VIJAYWADA,BENGALURU,VIJAYWADA,169619.0,0.001725
DELHI-DIBRUGARH,DELHI,DIBRUGARH,168432.0,0.001713
DELHI-JODHPUR,DELHI,JODHPUR,167679.0,0.001705
MUMBAI-RANCHI,MUMBAI,RANCHI,167347.0,0.001702
GORAKHPUR-MUMBAI,GORAKHPUR,MUMBAI,166551.0,0.001694
JODHPUR-MUMBAI,JODHPUR,MUMBAI,165340.0,0.001681
CHANDIGARH-HYDERABAD,CHANDIGARH,HYDERABAD,162233.0,0.00165
BENGALURU-DEHRADUN,BENGALURU,DEHRADUN,159813.0,0.001625
IMPHAL-KOLKATA,IMPHAL,KOLKATA,157836.0,0.001605
BENGALURU-RAIPUR,BENGALURU,RAIPUR,157731.0,0.001604
CHENNAI-TIRUCHIRAPPALLI,CHENNAI,TIRUCHIRAPPALLI,156114.0,0.001587
DIBRUGARH-GUWAHATI,DIBRUGARH,GUWAHATI,155371.0,0.00158
DELHI-VIJAYWADA,DELHI,VIJAYWADA,155417.0,0.00158
HYDERABAD-RAIPUR,HYDERABAD,RAIPUR,153254.0,0.001558
BENGALURU-BHOPAL,BENGALURU,BHOPAL,152164.0,0.001547
AHMEDABAD-CHANDIGARH,AHMEDABAD,CHANDIGARH,151154.0,0.001537
DARBHANGA-MUMBAI,DARBHANGA,MUMBAI,151118.0,0.001537
CHENNAI-GOA,CHENNAI,GOA,150055.0,0.001526
KOLKATA-RAIPUR,KOLKATA,RAIPUR,147492.0,0.0015
GOA-KOLKATA,GOA,KOLKATA,143712.0,0.001461
HYDERABAD-THIRUVANANTHAPURAM,HYDERABAD,THIRUVANANTHAPURAM,142965.0,0.001454
JAIPUR-PUNE,JAIPUR,PUNE,142264.0,0.001447
BENGALURU-GORAKHPUR,BENGALURU,GORAKHPUR,139967.0,0.001423
LUCKNOW-PUNE,LUCKNOW,PUNE,139544.0,0.001419
KOLKATA-LUCKNOW,KOLKATA,LUCKNOW,138175.0,0.001405
DELHI-MANGALORE,DELHI,MANGALORE,137156.0,0.001395
AHMEDABAD-LUCKNOW,AHMEDABAD,LUCKNOW,136726.0,0.00139
AGARTALA-GUWAHATI,AGARTALA,GUWAHATI,134204.0,0.001365
KOLKATA-SILCHAR,KOLKATA,SILCHAR,133843.0,0.001361
ALLAHABAD-MUMBAI,ALLAHABAD,MUMBAI,132999.0,0.001352
KOCHI-PUNE,KOCHI,PUNE,132675.0,0.001349
DIBRUGARH-KOLKATA,DIBRUGARH,KOLKATA,132041.0,0.001343
KOLKATA-VARANASI,KOLKATA,VARANASI,132114.0,0.001343
GUWAHATI-JAIPUR,GUWAHATI,JAIPUR,130853.0,0.001331
BENGALURU-UDAIPUR,BENGALURU,UDAIPUR,126094.0,0.001282
CHANDIGARH-SRINAGAR,CHANDIGARH,SRINAGAR,123009.0,0.001251
DELHI-DEOGHAR,DELHI,DEOGHAR,119827.0,0.001218
DELHI-JABALPUR,DELHI,JABALPUR,119798.0,0.001218
CHENNAI-TUTICORIN,CHENNAI,TUTICORIN,118516.0,0.001205
HYDERABAD-MADURAI,HYDERABAD,MADURAI,117021.0,0.00119
BHUJ-MUMBAI,BHUJ,MUMBAI,114691.0,0.001166
BENGALURU-MADURAI,BENGALURU,MADURAI,114349.0,0.001163
BENGALURU-TIRUCHIRAPPALLI,BENGALURU,TIRUCHIRAPPALLI,112843.0,0.001147
BENGALURU-SRINAGAR,BENGALURU,SRINAGAR,112389.0,0.001143
AHMEDABAD-JAIPUR,AHMEDABAD,JAIPUR,107220.0,0.00109
CHANDIGARH-GOA,CHANDIGARH,GOA,105024.0,0.001068
CHENNAI-JAIPUR,CHENNAI,JAIPUR,103430.0,0.001052
CHANDIGARH-PUNE,CHANDIGARH,PUNE,103241.0,0.00105
DELHI-PORT BLAIR,DELHI,PORT BLAIR,102792.0,0.001045
BENGALURU-GHAZIABAD,BENGALURU,GHAZIABAD,101970.0,0.001037
BHUBANESWAR-CHENNAI,BHUBANESWAR,CHENNAI,101685.0,0.001034
DELHI-NASHIK,DELHI,NASHIK,101698.0,0.001034
KOLKATA-RANCHI,KOLKATA,RANCHI,101197.0,0.001029
HYDERABAD-UDAIPUR,HYDERABAD,UDAIPUR,100984.0,0.001027
